Age,MP,Min,CrdY,CrdR,PKatt,Gls,Ast,PK,Pos_encoded,Comp_encoded
30.0,15,1198,0.08,0.0,0.0,0.0,0.0,0.0,0,4
25.0,3,25,0.0,0.0,0.0,0.0,0.0,0.0,9,2
23.0,18,629,0.14,0.0,0.0,0.0,0.0,0.0,4,2
24.0,14,1143,0.63,0.08,0.24,1.0,0.0,0.0,3,0
33.0,7,630,0.0,0.0,0.0,0.0,0.0,0.0,0,2
29.0,17,994,0.09,0.0,0.0,0.0,0.0,0.0,0,2
20.0,2,170,0.0,0.0,0.0,0.0,0.0,0.0,0,3
33.0,2,23,0.0,0.0,0.0,1.0,1.0,0.0,7,2
25.0,21,1203,0.07,0.0,0.0,1.0,0.0,0.0,3,4
19.0,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0,3
29.0,15,1243,0.07,0.0,0.0,0.0,0.0,0.0,0,4
20.0,3,112,0.0,0.0,0.0,1.0,1.0,0.0,7,4
22.0,2,17,0.0,0.0,0.0,0.0,0.0,0.0,0,3
33.0,2,59,0.0,0.0,0.0,0.0,0.0,0.0,0,0
32.0,17,1278,0.21,0.14,0.0,0.0,0.0,0.0,0,1
24.0,17,1383,0.26,0.0,0.0,0.0,0.0,0.0,0,4
21.0,15,935,0.0,0.0,0.0,1.0,0.0,0.0,3,1
21.0,3,91,0.0,0.0,0.0,1.0,0.0,0.0,3,2
26.0,21,1555,0.12,0.0,0.0,0.0,0.0,0.0,9,3
29.0,1,23,0.0,0.0,0.0,1.0,1.0,0.0,7,2
30.0,20,1622,0.0,0.0,0.06,0.0,0.0,0.0,0,4
23.0,18,880,0.31,0.0,0.0,0.0,0.0,0.0,0,4
24.0,14,268,0.0,0.0,0.0,0.0,0.0,0.0,5,2
17.0,6,235,0.0,0.0,0.0,0.0,0.0,0.0,9,0
26.0,20,814,0.56,0.0,0.0,1.0,1.0,0.0,7,3
24.0,11,461,0.0,0.0,0.0,1.0,1.0,0.0,7,4
29.0,14,860,0.52,0.0,0.0,0.0,0.0,0.0,8,0
22.0,3,158,0.0,0.0,0.0,1.0,1.0,0.0,7,1
23.0,5,230,0.38,0.0,0.0,0.0,0.0,0.0,8,1
25.0,22,1667,0.11,0.0,0.16,0.0,0.0,0.0,9,2
29.0,17,1485,0.12,0.0,0.0,0.0,0.0,0.0,0,2
26.0,20,1253,0.14,0.0,0.0,0.0,0.0,0.0,8,4
32.0,2,37,0.0,0.0,0.0,0.0,0.0,0.0,8,0
22.0,4,58,0.0,0.0,0.0,1.0,0.0,0.0,3,2
34.0,6,315,0.0,0.0,0.0,0.0,0.0,0.0,0,2
35.0,9,133,0.67,0.0,0.0,1.0,1.0,0.0,7,0
27.0,3,18,0.0,0.0,0.0,1.0,1.0,0.0,7,2
28.0,14,750,0.24,0.0,0.0,1.0,1.0,0.0,7,0
26.0,12,393,0.0,0.0,0.0,0.0,0.0,0.0,9,4
23.0,10,338,0.0,0.0,0.0,1.0,1.0,0.0,7,4
25.0,5,184,0.5,0.0,0.0,1.0,1.0,0.0,7,2
32.0,8,592,0.3,0.0,0.0,0.0,0.0,0.0,0,3
33.0,18,1335,0.2,0.0,0.0,1.0,1.0,0.0,7,4
25.0,19,904,0.1,0.0,0.0,1.0,0.0,0.0,3,4
19.0,4,60,1.43,0.0,0.0,1.0,1.0,0.0,7,4
27.0,14,808,0.0,0.0,0.0,1.0,1.0,0.0,7,1
26.0,7,416,0.22,0.0,0.0,0.0,0.0,0.0,0,4
35.0,9,600,0.15,0.0,0.15,0.0,0.0,0.0,0,4
26.0,20,1711,0.16,0.05,0.0,0.0,0.0,0.0,0,2
18.0,3,28,0.0,0.0,0.0,0.0,0.0,0.0,5,0
23.0,15,1137,0.32,0.0,0.0,0.0,0.0,0.0,0,0
27.0,18,492,0.36,0.0,0.18,0.0,0.0,0.0,5,0
23.0,15,335,0.27,0.0,0.0,1.0,0.0,0.0,3,4
23.0,20,1687,0.05,0.0,0.0,0.0,0.0,0.0,0,3
26.0,1,90,0.0,0.0,0.0,0.0,0.0,0.0,0,2
20.0,7,225,0.0,0.0,0.0,0.0,0.0,0.0,5,2
18.0,4,177,0.0,0.0,0.0,0.0,0.0,0.0,5,2
23.0,13,771,0.35,0.0,0.0,1.0,1.0,0.0,7,2
19.0,2,76,0.0,0.0,0.0,0.0,0.0,0.0,0,2
29.0,13,834,0.32,0.11,0.22,0.0,0.0,0.0,5,2
